序号,餐厅名称,餐厅地址,详情信息
1,新淮餐厅,淮海北路65号,"Wi-Fi,点唱机,店内参观,生日餐会"
2,时代餐厅,解放东路43号,"Wi-Fi,点唱机,店内参观,生日餐会"
3,新亚2餐厅,淮海东路142号,"24小时,Wi-Fi,店内参观"
4,楚州淮城,淮城镇南门大街2号供销大厦一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
5,洪泽人民,东风路111号,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
6,盱眙华厦,华厦国际广场A幢1单元一层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
7,楚州苏果,淮城镇东门大街108号一层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
8,金湖苏果,金湖路12号与新民路交汇处华润苏果购物广场一、二层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
9,淮安万达,淮安万达广场（万达一楼B口）,"Wi-Fi,礼品卡,生日餐会"
10,涟水大润发,涟水县安东路与常青路西北角,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
11,淮安北京路苏果,北京新村五区新苑逸城,"Wi-Fi,店内参观,礼品卡,生日餐会"
12,健康东路,健康东路49号（丹桂苑综合楼营业房）,"Wi-Fi,店内参观,礼品卡,生日餐会"
13,南昌路大润发,南昌路与威海路交汇处东北角,"Wi-Fi,店内参观,礼品卡,生日餐会"
14,盱眙大润发,都梁大道与东湖南路交汇处,"Wi-Fi,店内参观,礼品卡,生日餐会"
15,承德北路大润发,承德北路与黄河路交汇处,"Wi-Fi,店内参观,礼品卡,生日餐会"
16,楚州大润发,翔宇大道与北门大街交汇处,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
17,洪泽大润发,北京路与建设路交汇处,"Wi-Fi,店内参观,礼品卡,生日餐会"
18,淮阴时代,淮阴区利群时代超市一楼,"Wi-Fi,店内参观,礼品卡,生日餐会"
19,六洞服务区（东）,六洞服务区,"Wi-Fi,精选店"
20,六洞服务区(西),六洞服务区,"Wi-Fi,精选店"
21,玖玟珑,翔宇南道玖珑汇商业广场一楼铺位号1F-030,"Wi-Fi,点唱机,店内参观,生日餐会"
22,百悦广场,涟水县莲花小区东侧百悦广场,"Wi-Fi,点唱机,店内参观"
23,淮安新城吾悦,生态文旅区凤里路1号淮安吾悦广场,"Wi-Fi,店内参观"
24,淮安新城吾悦甜品站,市辖区生态文旅区凤里路1号4F4029-2号,
25,淮安区万达,楚州大道东侧、翔宇大道南侧的万达广场1003、2003号商铺,"Wi-Fi,点唱机"
